Ulan Wifi'ye baðlýyým ben. Ona baðlýyken Turkcell internet paketin bitti diye nasýl mesaj atabilir bana ya? Onu da mý ödeyelim;olumsuz
20 dk 1 GB internet 500 mb sadece kaþar turkcell de düþer. Oç çocuklarý.;olumsuz
Ayrýca turkcell superonline reklamý kadar da kötü bir reklam görmemiþtim;olumsuz
Turkcell çok pahalý ya;olumsuz
Turkcell Kaþ'ta internetin cekmiyor;olumsuz
Turkcell'in Allah belasý versin demek isterdim ama demicem. Demedim farzedin. Nasýl bir internettir bu ya yüreðim þiþti!;olumsuz
Canýn cehenneme turkcell;olumsuz
Turkcell yönetimini eline geçiren AKP hükümeti, abonelere seçim propagandasý mesajlarý gönderiyor;olumsuz
Turkcell þerefsizdir aksini iddia eden turkcelldir;olumsuz
Turkcell'den elimi ayaðýmý çektiðim iyi oldu;olumsuz
Senin turkcell gibi allah belaný versin;olumsuz
Bayramdan sonra vodafone geçiyorum turkcell kazýkçý amk;olumsuz
Of evin her köþesinden Turkcell geçiyor bizi kazýklamalarýyla kalmayýp birde internetleri düþük hýzlý;olumsuz
Hay senin turkcell gibi çekim gücünü ... Nalet olsun;olumsuz
Þehir dýþýndayým burada da turkcell internet çekmiyor. Bide turkcell fuul çekiyor diyorlar;olumsuz
Turkcell senin ben amk 10 dakikalýk videoyu izlemek icin yarým saat dolmasýný bekliyorum;olumsuz
Turkcell 'e baðlanmak amerikaya gitmekten daha zor;olumsuz
Su turkcell durduk yere kac lirami yedi ya kafasina gore paralar cekiyo;olumsuz
Turkcell im lan her saatte araman ayýp deðil mi? Nalet .;olumsuz
turkcell gittikçe, iyice saçmalamaya baþladým diyor;olumsuz
Kendimi kurtardýðýma en çok sevindiðim kurumlar 3 turkcell 2 digiturk 1 garanti;olumsuz
Turkcell'in interneti kadar rezil bir þey olamaz;olumsuz
turkcell mal ya köyde çekmeyeceksen hiçbi yerde çekme;olumsuz
Reklamlarýnda sürekli çocuklarý ve yerel deðerleri kullanan Turkcell'e ayar oluyorum.;olumsuz
Yaylada telefon çekmiyor sözde toroslarda turkcell 4 çekiyor;olumsuz
Sahrayýceditin göbeðinde tek çentik çeken turkcell dört 4.5 g ye geçmiþ sen önce çekim gücünü yükselt sonra geçmesi kolay;olumsuz
Turkcell kullanan geri zekalýdýr. Ýnterneti biraz daha hýzlý diye niye 23 lira vermek varken 35 lira vereyim ams salak mýyým ben;olumsuz
Türk operatörleri týpký AB'deki operatör türevleri gibi halka hediye olarak ürün sunmalý. Yýllardýr halký sömüren Turkcell ne yaptý?;olumsuz
Turkcell'in müþteri hizmetleri kalitesi felaket .. Þimdi Face hesabýmdan ayný yazýyý tüm arkadaþlarýmla paylaþacaðým;olumsuz
Ne malsýn turkcell yaa aðzýma ettin ressmen;olumsuz
Turkcell 10G de yapsa bu internet düzelmez. Bir fotoðrafýn açýlmasý yarým saat sürüyor;olumsuz
Hani turkcell heryerde çekiyordu;olumsuz
Acaba benim hattým neden kendi üstümde deyil bu turkcell in kazýklarýndan býktým amk baba duy sesimi;olumsuz
En kazýk operatör Turkcell'dir aksini idda eden olmasýn;olumsuz
turkcell kadar þerrefsiz bi operatör daha yok;olumsuz
Çiftehan da turkcell neden çok az cekiyor;olumsuz
Turkcell kadar mal bi operatör yok aq;olumsuz
Numaramý deðiþtiriyorum yeter. Turkcell amk.;olumsuz
Cart parasý curt parasý diye sürekli faturama geçiren turkcell sana da çok sövdüm.;olumsuz
30 liraya sýnýrsýz internet yaptýrdým sanýrým turkcell yine kazýk attý yine keklendim arkadaþlar;olumsuz
Ve bu köþede de yavaþlýktan ölen bir adet Turkcell;olumsuz
Turkcell'in amk niye çekmiyor bu internet;olumsuz
Turkcell çekmiyooo kahretsin;olumsuz
Turkcell sömürüyor bildiðin;olumsuz
Turkcell allah belaný versin;olumsuz
turkcell in allah belasýný versin bu da ilk bedduamdýr;olumsuz
@Turkcell Yalan söyleyen, sigortalý telefonumu sigorta kapsamýnda deðil diyerek geri çeviren Turkcell'den hala ses seda yok;olumsuz
Eve geldim hala turkcell deki adama sinirim geçmedi ..;olumsuz
Turkcell her yerde çeker diyorsunuz lan evin ortasýnda þahin pozu aldým yine de çekmiyor;olumsuz
Turkcell e gectigim icin pismanim;olumsuz
Allahin belasý kazýk turkcell !!!!;olumsuz
Ýnternet paketini sömürüyor yine allahsýz turkcell;olumsuz
Turkcelle geçtim turkcell evde çekmiyo aq;olumsuz
Ne biçim Turkcell'sin sen ya þehirdeyim çekmiyor.;olumsuz
Klozette edge cekiyor turkcell bu ne sacmalik;olumsuz
Turkcell abv odam da bile çekmemeye baþladýn gerçekten;olumsuz
Turkcell superonline bok gibisin bok;olumsuz
Turkcell urunu kullanirsam en adi serefsizim!;olumsuz
Turkcell çekmiyor arkadaþlar inanmayýn;olumsuz
Turkcell allah belaný versin, bin yaþa VODAFONE;olumsuz
söylesene Turkcell odamda neden çekmiyorsun?;olumsuz
hiç bir oparetör dürüst deðil turkcell faturama internet paketimi aþmýþým diye 13 tl kitledi sözde otamatik duracakdý sahtekarlar;olumsuz
ulan bu gerizekalý turkcell kardeþimin öldüðüne dair eve yazý yollamýþ.;olumsuz
Bitmeyen fatura yapmýþlar ömrüm sizi ödemekle geçiyor heleki Turkcell Allah senin belaný Tövbe Tövbe ya;olumsuz
turkcell son zamanlarda iyice cortladý. internet hýzý rezalet, yer yer hiç çekmiyor. kontratým bittiði an vodafone'a geçeceðim.;olumsuz
Bu ay Turkcell'den yemediðim kazýðý yedim. 50 lira yükledim ama gelin görünki elde var 0. Bir de þu ÝMessage uyanýklýðý var tabii.;olumsuz
Bugün Mutluydum Ama Bu Turkcell beni Sinir etti Þuanda;olumsuz
Turkcell benim internetim bu hafta niye böyle yavaþ!!!;olumsuz
Yýldým vallaha yýldým Allah telefonumun da turkcell'in de belasýný versin;olumsuz
Turkcell internet baðlantý hýzýnda açýk ara sýnýfta kaldý, çok yazýk !!! Ne eziyet çekmiþim!!!;olumsuz
Vodafone gibi Turkcell yapmýþlar olmamýþ bu;olumsuz
6 7 senedir turkcell kullanýyorum ama allah belani versin haram zýkkým olsun verdiðim paralar;olumsuz
Turkcell Samsun da zor çekiyo adada nasýl çeksin býrakýn bu ayaklarý;olumsuz
Turkcell ne geçirdi beeee;olumsuz
Turkcell galiba bana gelince internet paketini yavaþlatýyor;olumsuz
Hani turkcell heryerde 4 çekerdi metroda telefonla konuþamýyoruz bunu bana biri açýklasýn;olumsuz
Turkcell reklam mesajlarý için numaramý sattýgýn her firma için Allah belaný versin!!!;olumsuz
Ulan turkcell odedigim faturalar haram olsun bole net hýzý olmaz olsun!!!;olumsuz
yemin ederim bu turkcell müþteri hizmetleri bir ton otistik ve moronla dolu;olumsuz
Embesil Turkcell bu saatte mesaj mý yollanýr üstüste !;olumsuz
Çekim gücüne sövmemek için zor tutuyorum kendimi turkcell;olumsuz
Ömrümü yedin turkcell;olumsuz
@pelinozgen gayrettepe'nin göbeðinde býrakýn 3G'yi edge hýzýna bile eriþemiyor turkcell.. neyin kandýrmacasý bu?;olumsuz
Lan odada avea çekmiyo diye turkcelle geçtim þimdide turkcell çekmiyo avea full baþlarým böyle iþe;olumsuz
Ya benim odamda telefon çekmiyor arkadaþlar.(Turkcell) Resmen 50 yýl geride yaþýyorum ben.;olumsuz
Hattýmý tekrar Avea mý alsam, yoksa bu sefer de Vodafone mu denesem. Turkcell'e bulasmýyorum bile. Kafamda deli sorular;olumsuz
#turkcell ayricaliklari neymis diye bakabilmek icin #avea hattina muhtac olan ben... evet turkcell dort ceker olayi yalanmis...;olumsuz
Turkcell reklamlarý kadýnlarý neden bu kadar çok aþþaðýlýyor güllerin içinden yoksa vermez kucaktan kucaða zýplattýlar kýzý;olumsuz
Turkcell türk telekom arena' da bile internetin kaðný gibi.sana verdiðim para haram olsun...;olumsuz
Kandýrdýn beni turkcell,her þey bitti;olumsuz
Yaþasýn yarýn vodafone'a geçme kararý aldým. turkcell'e para yedirmeye son :DD;olumsuz
Ulan on numara mekan sýcak suyum bile var ama þebekem yok amk turkcell vodafone'ye geccem kesin;olumsuz
Önemli þahýstan mesaj beklersin beklersin Çat mesj gelir bir an heyecanla o mu acaba diye bakarsýn sonra Turkcell olduðunu görünce söversin!;olumsuz
8 senedir kullandýðým Turkcell numaramý Vodafone'a taþýdým gerçekten iyi bi karar oldu insanlarý sömürüyorlar ya ücretlendirme normal deðil.;olumsuz
Turkcell bile ygsye sayýlý günler kaldý diye mesaj atýyo. Amacanýz bizi çýldýrtmak mý?;olumsuz
Geçerken arasýndan daðlarýn tepelerin, geldi veda zamaný Turkcell 3G'nin.... :/ bu devirde edge mi kaldý yeaa;olumsuz
Turkcell'in reklamlarýnda müthiþ bir kalite düþüklüðü var. Reklam fikri de parlak deðil, Prodüksiyon da baþarýsýz.;olumsuz
Turkcell'in hani interneti hýzlýydý,kandýrýldým;olumsuz
Turkcell artýk yeter .Býktýrdý reklam ve aday mesajlarý.24 saat gece gündüz yaðýyor.Numaramý satýp sen para kazanýyorsun ben çýldýrýyorum.;olumsuz
Yandaþ, yalaka hale gelen turkcell kullanmýyorum kullanýlmasýný tavsiye etmiyorum;olumsuz
Turkcell sadece kazikliyosun Hizmet sifir ttnet gibi yolmaya basladin bizi hepinizin Allah belasini versin anca semsiye sokuyosunuz insana;olumsuz
Lanet olsun sana Turkcell yaaa ! O kadar para veriyoruz internet Felç ! Hakkýný verin Hýz limitimi nasýl düþürüyorsun dolandýrýcýsýnýz;olumsuz
Sabahtan beri net paketi yaptim halde internetimi kullanmadim abv turkcell;olumsuz
Turkcell yine çekmiyor. Aldýklarý para boþuna;olumsuz
Turkcell su kontratým bitsin turkcell mi tövbe;olumsuz
Turkcell'in reklam filmi, Fatih'in Fedaisi Kara Murat filminden daha heyecanlý yeminle... Eziyet resmen;olumsuz
